H(firstname),H(lastname),city,age,sex,vote
86602b0944aa4af6fb20cefaccd1b5de43ec81f9e5cf8963a6a438b17501ec78,09108beb5d193cafc4b1f6d47d4e05d87b6067bc74bfb6d57fc936a49202928f,Cornwall,95,Male,Purple
7e9ccf865a3cf5dfb1ea60f002fb1b914418217541a0d8770dcf040257787ecd,924219908c55a78edd9cc701ac71d9146114b3ac02b67616de59d252b1d84ff8,Disraeli,40,Female,Purple
46b540c0cb20989ee823ddb0cbeabdef72c10eb646733823a77c50651a610b29,4737c950ca5084cd82ea26e52859c9aefd2083261faa7c49a33cdee6053932ae,Bathurst,95,Male,Green
78f701c896ab1a537ea9cac581673b9959b632d18c375d367b2d33c8f3b9fc4b,d7cbd5da5341e0a1fb980f5a5253970cadd71866ace11abeec271f25d2d72e90,Berthierville,85,Male,Green
295fba545b37583829cb68ed3a945fccde12858d0348a87ccd8aa9c75e4b1233,cbc25a4d2361fbf93a1fb9ae20c319c8aacbf52eea9cbe09dd83a0c8b2bd0f0c,Yorkton,100,Male,Blue
9dc40ce3522d7abf0c6a6869634b6dcb5227ab71f0577598b124cf7eb215a266,040154546c736b7d52a2525fc4b57be7cd11a35466786b52d64cbb4d9066eecc,Lavaltrie,90,Female,Red
8002c39bb42b47131570812fd3e4888468995f884cd6042712c5538aec3d1ae2,7e2b03ab435441722a1e7bf26f5218a713ed25782b3295f34aaa12912262c3f7,Repentigny,30,Female,Red
d9f04d7e7fc9bc6b0b111f3ff0a55df70fa9f126f0e8614a358072e9f8d1c4d2,2dbe808449534536d7855f7a8c80c151dbfad696b7dae63b75d008dfadfc925b,Granby,35,Female,Blue
02a042739866cc7e53609fe883b7cbad6ee85fb9c39e38e84fbd7ce6b668fac5,46443a9f83fe959cb3c928be4c458ca7c4841bdf16c9a799ca285ff51d875e4f,Brooks,20,Female,Purple
4fe4a2f0075c219cf4b88b93cb9d21180cbb86e121e30c1c6b48801ef524c8f4,03f815f48257b286f9d1a12aadf9097d5da3160667820c60a595ad36849f3d99,Dorval,90,Male,Red
80b1814811a85c76411bc007ff41ac8a7977f89abf56fc0b2cce9afef8eb5d48,c96b38a3122f9a5cf34838bb5d2e9e3a8093e1777e68948f8bb4caa247db8d62,Dunham,95,Female,Blue
1775f13a2f313127da1a89a0497aae9315a559ddeb1aa0c0013b353e847914d6,b490ba8453bef4992985cbca07948a15a59bf02b94df6f7de138820b2f6f1d2d,Causapscal,35,Male,Red
62b44531318531d1899dfc4b195032ad1a81f373ff883dc714a7f04f0e65ae2b,5dcc25ab90bd23f1558bd3e63ae14090c47575ed01019aca2805cfdee441cf6b,Mont-Tremblant,80,Female,Orange
70d056fd064f50f5592a9c50e5f55f7dd72b1b76937e3f85f9843b1384537605,daa68151dbb98b96b8451063d669bcf5e99a868fed18827162c4fdd91bcfe858,Beauharnois,55,Male,Blue
662bef168f13b0d15162104d97a07eec034a9011d4f21e67fa3eb58a6305066d,735de070705c75381e970adff4111c6d9ae2662495469ee3b0f0206ad584ad32,Acton Vale,80,Male,Green
7c86d35f79a941fd7603c49312eca6f4faef9cf3cd6e760c11a889f0e54700ef,fd4f5b21aa5b82732e70204986fcc4e7b2c626135a1799fea7527aa66a5214aa,Mission,20,Male,Purple
0ff1f61ee5961072e6b01ebcf2dbe649cd2afee9dd6fefc7d90660e3f3d82c6d,001e16d7444c010f210a25d623c1abc2516d285bbb7d55fc6322e5e18d3c34c4,Armstrong,55,Female,Purple
3969acd41dbb42e34ce28fe8f3c0d05bf2a2bfbd9842ec12679488707a710300,01605d1b7aece250ee9ce00f681e1cf5ef2a9ea41d17bcdfcb9b9ca94fda230b,Saint-Jérôme,40,Female,Blue
6cf93fce5af1097291c878704a5bcb516ffaed57eb01dc56dd7b588e837cb550,180fdad5bd62010c6c363526af714166ffc61bc1ffb9384bd988567083fdd00d,Kawartha Lakes,50,Male,Purple
5a05c9ada57551a07bc31abf9cd97b29b81f7bfd04968da96a26cfbd94ed3a5f,55263d89e41c38492d8c1e6eaa0ff390d112b35ac188c84a8c048854078f0b78,North Bay,20,Male,Blue
554f56d1dcdfbe7c759715efdaa9d7249bdce42553e3554b7003d4678a7ecc17,7bd1de8acbecf3a3ca06ff5e6a2cd6c276fe12886ac9eb4f4b3bb1b9f7cf5713,Williams Lake,100,Male,Purple
ebdc22db6b4170629c36e7e733ab8386d720f3c14846f4497e2a0ec17a792f1e,680f693206b418a8a1708e021baa8dbc0c269dc78a3c32b8c20997c906d7bca0,Saint-Gabriel,30,Male,Blue
0cf730addf0236ccefddbd9ea0111f923725e5dde092eca040ad3c640a9e72b8,bd5b2ac637dc57c163247547b372e34f858d2cc6f65dddbe4012ab8730d0cd24,Disraeli,30,Female,Blue
9934716a8f976b373ec410837ada42443b9ab00ff3fc19958ecb4fe28956a8d6,0b45ac28e305d4c7e7ba09283cec7c3fc302ce23adcecd4c4e41bacbcc38cf6e,Saint-Honoré,40,Male,Purple
d67335162261b5f9125a5e60130b2be344c167d3e148de406f73c13bbcdb749e,67494aab35cb963ad9e5618921f85e043e31d6308f4947f79f7afca6365de44e,Val-d'Or,70,Female,Purple
5f3f63a18d94ca912ed6a580eeae06029d0d18776f22ba115595b6aa36c6d890,03bd460cdce16d34044a2ceae57f90f253fe4ed7b05ff57f1e7c025c9899f14c,Mont-Saint-Hilaire,70,Male,Orange
e235e8b0494ff35bcf7400a48825ae7cf69f33619ccdceb99172c783bccf3571,7070731bf63af3d3029dc9c1857b61d25293c908b630571acf46d7e4181c5959,Mercier,40,Male,Purple
449dd67e619615b5cb671120adf90b1ae12d6c268613f8edd6cb1242a021976d,e412c872f3b6500035e0aedd50f788d44bfe41e337df833e32fab62e9b207b9d,Rouyn-Noranda,90,Male,Red
a1b60934a4597e170fb454d026d2350e3950b52b859c9003ebbe108563c6befa,f41d1df55d6720a38e1dc99c655d2938c514ffff58e9d82aacd6a5a10d1722b2,Carleton-sur-Mer,75,Male,Green
ab62fd526e2b029a3d84ecf29f075a103df9643d28f86b7534d633eaafce5521,f03ba142b3661a26f4b7e6b6d5797a5158e8610a89594a49aec8bbae0f2a8058,Burnaby,30,Female,Blue
157fec68fa0032239056f15fd31976b87736c6cf786d506ea941d92fd1c33d15,cf2bc1e288bfaa26f7ceb8819a3e1c43a7b6499a946bde5ca140a7c2482883a5,Clermont,35,Female,Orange
794495df5528f891d42d9d40e27c07793e86c027ac11217f15de41bebbce91df,3a9bf182bc4f0a46f9282b1d39fa822db31b2e586ed3bda392d2d30da5c86662,Moose Jaw,80,Female,Orange
54e52400ad4d8ef10c9d9e2633212211e68ed983b4cdd8546f8598929ef5d0bd,899a9ad8b8e545b67553b34297b2d865f867cd741fc5bc96d639e9e6a3c244da,Clarence-Rockland,75,Male,Orange
1ace17d584c62e29da273a1711b12dd22cd7ed44aa13eb2f2943d2d90b1100b0,62f1b8ac8f0f0db461b58a382aa07838dac60444fe5950a8813b36ba59a85622,Saint-Constant,35,Male,Green
248bea0781d8bc365c8a5c7f3edfe01c25f30efe7e286004221019a503ebe56b,6cdcd88c01a05f8f5ae284cf3bd545e1ac0d8062e1155854bccb774fba0fca5d,Vernon,20,Male,Orange
ffb88dfcb8a643ce1ccbf13e5b5363b6e5386beb41b31bf0e9c95dc5c1db0b26,7abbcce59f53c30fe6461b402b9417c657c923f23b4a47ae5920a12636f5ce77,Lac-des-Aigles,45,Male,Orange
da4ead96080fcbc1dbe1677e2a3ffbec03271cb33d98e681e8479409ab56b36e,8e10483a20ef46701cf784cc51ba6991d5cb1ffc10ca06163f79716429fd4b9a,Sainte-Anne-de-Beaupré,30,Male,Purple
8fc832f754abeda5308fd06436ea067aece7d30945921bc6699c0df6cd17f229,f96ce688c06653cd5a78e65cb12e56ffd4b15f5ba4af757bba8538701b1b3f16,Grande Prairie,65,Male,Red
cf45a709044f330de83f532769d91db2ab43a85c688a22584113b15ae75cbebe,c71782cf2dcc4966e1b51c2bfa9a49e80d388e36648f944b458435548dd0664c,Cornwall,20,Male,Purple
2d205dcb2748c9a64135bd39383fbcf79781a0d2b088ec93a16dda77cc3bb2d4,89222e1e1abfd9b108793ddf25dd1ef5edeb31a984c080e3dba2041c50295dc5,Boisbriand,50,Male,Blue
d5d2241e3741f57c1a0eeb0a1920a181b018877ad8ee7eb97314c4c749a84458,1034249762e5ec7ca1b7dc4816f753dd68f3186350df8f5e3995eaffe9ac36b6,Mirabel,40,Female,Green
5955cc0c7705fe12a01b4c9355b448744b948a78dc79d9836a89c2cde0839774,4ee94c9743a34faa28606dc69a8891ce17a061857848d7f2bde3a3074c2c4ed9,Saguenay,45,Male,Purple
ba3156861199b3cb99a11528ac689ab3578a542550017ec7fec71a0ed5e50b4d,2a652cc4a61fe9a61addc994390cb8af10defe06b50de7550791875932c50622,Selkirk,30,Male,Red
ad642ebb1efc894cfe30d27c930a92b46bdca3db426a51a74d0b3a10d954f82d,e35070c108167c7a0f0a8997e5b03ec256d2cd0ff73247c258491fe4d6a8d55b,Normandin,90,Male,Red
ae1c691a5859563310d5c05337d32369dc9496c29c6a2671901cd26798188e53,3d540663dd58d18810926ae18e22e27ab8f8587ea76d3e385c11e64ad1f54d24,Donnacona,90,Male,Blue
23fcc6921acbed29398bb32380f8b3e753ee378a970ef1ffa058c8bf06a573fe,0822dea1742323627a71548e68afa9c15c9ec92842fc7df801626400e3d60120,Léry,90,Male,Orange
bd7efde774eaa04d349f9dd291bda3c2007b6d22e91cc0f79e26d2995c24246c,fbaed3360dea679ebd0a7286ca44eb062db66ab39c08e27b4ce864841f82ca03,Sutton,60,Male,Purple
5232a0bc74d25bac345840e6e37c9c6765904c35dbb6b393549372f08cd702a0,3bfed97f80c2f11a35efac5673e6fec01416ac6d752d95296e3c927e63e5f1a0,Saint-Basile-le-Grand,85,Male,Red
64a11599320f4fcab418e770e9156af91052af49df28fc612d454fc656c8a260,91586be0ed00647193b806c2af8ede6325c9d8659daeada6b7670d200685f445,Sainte-Thérèse,25,Male,Purple
ae3596e5ae370773b0c7b6c564868379dcb6ea94d2ee20a27db3148e592fc2dc,24b543049a39ddb9ebe5c21cbf9e5a042e744284dd615e82cbbcc5826ae9556e,Lac-Saint-Joseph,75,Female,Red
7d2f40ec57ce5eeab05a611e9baa7806f33e598d8d87cd04a2536fec6b0d00b6,6f2d73528bf177fd858f1343056c16950105c1b1276e4f295e5a156a8064988a,Sainte-Catherine,30,Female,Green
6f8122f182d15fdedac79d92ea9e759b11ae6796f7c5815ba7df47f452692db8,07289d48c27584564484f49d6b0be9ede5d074f59c6fb856f9d60121704792e7,Disraeli,85,Male,Green
b0c5bb9e1f151ce83749cc12a115219a1de216687ee7ab2ef08f88275f3896b1,51832d24c29fc18a0a04f30a75983ea981d7369237a6e6cfa65aef778742c0a6,Cap-Chat,85,Male,Blue
43e1e5ebb1209f480e713a8551c5e873419d6e5907eba7e089c0c94df59c4cbe,1a659053c43bdce2393c26b006ab03b4ca35a684b87141033cb8b321068f34eb,Saint-Jean-sur-Richelieu,60,Male,Blue
6447c178f1ad012074db6b5228a3f6b9f109d636b1c80fc2c2275d003eeac03f,b823f966776f01356a1d364236bda74d99fda8baadc3479c6fde1f46de8ffbfa,Kimberley,70,Male,Orange
be583d1abec360a31f011801696ca2551076f683bb851b5cd2fd74c1bca0c77a,658aaf8a8c477543ff8a9c3ad22b4087831212f7ae66a8cf09ca8fdfbabac199,Vernon,85,Male,Green
b5655869984e275893244e622ebc472d05a61d6fdd43f91f86f826c29e94b895,46c721176219cd3ec74d682a61a51386a76573480bae7dd1107044c993224766,Lac-Sergent,45,Female,Green
e0d569f09ea808bbcf5c2ffeac52d22cb4cab15fc7fc71141266f509e4aeffe0,44035ef160911b864f70179f4e1cb3170655fb93a48dac7570b46fdee42c2c1f,Paspébiac,60,Male,Purple
1b7fcafb80850a076bcd34962be128cffce8e2de6b1db0ec7cabdc6ba834805c,0af2e6452b3015f9429d6a89664628a08900693e4314b74b2261b5b574639e60,Iqaluit,60,Male,Blue
3f0ef77e92a0e106716dabe73f2d6514a39978ccab78080b3e3ac21804c2cd0c,372b2a6612475617cda96bb128da072653febb9787f53693132f7c6d4578b0d7,Rivière-Rouge,20,Female,Green
d43991392c37e112abf6413bc341756ba48916b163e0d50b8a804a74a22fd7a9,63fe0d993d38e883e4d9ffec8936ea3baa646ca8f1e8064fc16f0d9094fa2656,Saint-Eustache,65,Male,Blue
a98c91118d35390d2a07501c65c0856fe582558b24e6f0aca4f1f261c94a7a10,59ce0a377b8768c0780179b7a461389a38524abcfe167c358466e12911730adc,Gatineau,25,Male,Blue
9980640d5a0a5abbcd76ab5002c0de4a2b778c0feec3610286a985f7771cb718,70775e5c43072c84820aab3572723f5a3265c8080c379d1ecec5d1a475b552b4,L'Assomption,75,Female,Purple
8cae3f158315caa2b8be97904304e58271afbd179dbd701efc74269a3fd5e26a,7ad81851025b58b8a150134e3b10b2a67bcad0d6781e7c25f007b20f3656180b,Saint-Marc-des-Carrières,80,Male,Orange
12feba7b2f17912e096fbe5e6875150275f56a2dece055f5ce402baa811b2142,ea134e433994a1a6fd25d6c6ed1d34d128c2f108b792bbb75a06ddbbc9aa25a2,Saint-Basile,45,Female,Orange
73d11abadb0c82c442d3f881882a09bc3fe24c1954d407e763357027f6dcb76f,68a140a183d81ed5916146aeb76f1b59bd10aafa88050d39b718d3f3ae599a04,Sherbrooke,45,Male,Blue
e21f9f6a37e560fb6fc1ae07e686a833100d212f534965a9e66e45956b169a17,56e4c3f8e5e1177aa85c0fc8af54d9383f2c1eb1f91f044546e85290209e133c,Brownsburg-Chatham,90,Female,Green
a3f3dfe9c582aadfd4d386c3bb270889a3f2a3fc9676116c6d78842b4e8847e1,2791dad26966c808b9ddfce941aefb09917c3aa6bebe0e85a110228c1e97f550,Beaumont,25,Female,Purple
26a515a271491a1b8792a3144e0180d51c777145ad8517457b94076d9686b5e9,61d28b727b9c00762c7909127573f4bc71a87febb7a8af68e9b14f987b483d52,Courtenay,95,Male,Red
460d62cd96c473ee9ad1b15e85e0b0cc144826427c2a5b732208c2b761000966,952ddad49e72174ca86271c88c9876103e0cf77b3fba4f7ee173e5f060c0c4e8,Peterborough,30,Male,Blue
1517de2419a536b2ac140280212d43a741f07f91262c6bdbcdd47b1dc76d5461,100a0de360a5c8fee04737c0609d97aa4a9279f565a8ab273d47c3a48311c0a9,Grande-Rivière,25,Female,Orange
ac08c64634fb1da1cd5b804edfbf8851a0328ff97327664a1c9b7e9a80338c66,067349f081a33af694b458d5cf5a15221305fcbc6f0977d4dda072b31cb71f6a,Summerside,25,Male,Red
7fb236198a883cb289a70b01b80533df741d2f5e3f9712c943f091ac244f2c51,91a942767f369fb2d7a7ac9eac34f479853906b0ab8c4565259d864c7132a6e3,Maple Ridge,55,Female,Orange
989185a12267fc3501a2953f948a9ee0d763c486fdac449a97f8e978a2e77750,6816ca2fb989d7c1732c82b3477dc538345fb2439537e2988b5fe8da46f735e6,Sainte-Catherine,40,Male,Red
19212f49d8e39dacc810e1d31c860c9da90d0bc077661175350a5874672f9686,db4766f6ec72e5992760acb5853b65c3b360baf7d8bc7ec8be740b45d24cd061,Fernie,65,Male,Purple
ae9a850f925a37c022f6224a708d4042a66fd628b36851eabd12fed7f6bfd573,593cf7e7858470a5aad0732394234705ff805cde26232e37971616973ec401bf,Saint-Pie,55,Male,Orange
238bbaa88c7f2cb1d64a9772af131c9854917bda9df0ef82cea394c330c159b5,43f6144f8f158af8d9a4d52cacb72e2325a676d3be048eaaffa107f3d3a22162,Saint-Raymond,90,Male,Red
35c34ef8bffcfac7495b1ae9b7700b13c9e1add2a776a86ce0e48c06eca820a7,04817e5e31a508bb5897a881da376307e955c6559bcb7d16740786b1ecb1233c,Sainte-Catherine-de-la-Jacques-Cartier,55,Female,Purple
369f2c4b1802e54cc6d4e0de8a30130984db8d3f531c82e907f0617f20466c76,83ed2539c11da21f9a0d55cc726487d1b87f253bcee8134f1097165ab880eb6e,Saint-Colomban,55,Male,Red
3426f1e4f92f5c78314d6a6f04e0265adcf1ce12e427c3f557d85ef7e619616b,1fef2cfa358211dd37ecec701c4aca825b3f3d92c6cf567019e9949fe4cccd94,La Tuque,50,Male,Orange
1356566abbd411d6237d90e3b566f15b966eb3d2bdd1005898e15868017f2708,194a4cb2a8a621338041e81c6da18abacef6e932be4dd75c5966c3c7efd6b26b,Woodstock,40,Female,Green
55e0575dfa55efe61618644ce96a4cf5192027d4ea619cb1fbe13ad0aeac9c06,048aeef210570afe0e6bc58dc7764be41a7e142033e935f82083c82dea40ed5e,Oshawa,85,Male,Orange
450e0a911b77fd04302b586669feb6114ad5c627a3ec8bb9a1e0ff4e797e87ff,5572919ad8924e1647e010e03e364c459b269c352dc0a1f6ee4f7006e4f4122c,Greater Sudbury,20,Male,Green
30a8e9f6290ef2c6771be5dc9189ec2cbe2cc55e39cb5e5432a7ce820655a694,4581b36cb78d32104eb34900781712751112829844cb81d0b3fc54ac55728fcd,Amqui,85,Male,Blue
2d0f279d361ca5ea827a335916afd8bd1be000fcd88d66c09e82f4c6ad012f6c,40a8cabfe22e5b40941e37008df0ebdc30fb09d1f1a9c9ee2cc8ab22cd30bb6b,Saint-Jérôme,30,Male,Blue
a6c576698973045bf863bbf55852aeaf49f3ce0288b8acafb4d4ac9be3922723,97a0730be55afffa6979662c8249de8ac54889d904d1550a8d64fb29cb7f695b,St. Thomas,30,Female,Purple
bdc33b950db6906c874faf1e5693acd3a5be7c1d5b32acf31c962026f8bad6dc,d382f9f68afa40e65c6fc522ca87ae7d868224860f9e0d5608bfb1659a0e06be,Sainte-Marguerite-du-Lac-Masson,45,Female,Green
519c648a9c86e562535ba884bdde76209a7c082bcb1bbc542bc4928396b27f33,45ab6979040cfe7f0e2175190b405d9e995a451fd199478f313810920bb17089,McMasterville,80,Female,Green
857c50256ecfcd951551fada1ebd54ab5d03dc30d432ae5c406b02244e20d9c8,2d55f5a2f01318c4e7e8b01d2ed125c21d415895198ebe4ae43876b99b6e3a24,Beaconsfield,90,Male,Green
5935abbe1e7db3a92d19f2e5b597c065e981ddb8323f64b7c02b08e769f7be4e,222d5fb4fd4794c1d1db9c3a54e0c4ad2ad5298d8168dc8cbc9e8aa44d7deb60,Carignan,50,Female,Purple
15c21a692985c73c077248c85e6d2f9376422384c90149353a4f2cf39dfce8d9,7c43891412c0d94e57aea08297973dcd22857a2a32a731a2bee957b680daf92c,Témiscaming,95,Female,Purple
c8b19d1b6b4064b268a17cc6f6f9d3f6bda6751714d1707033170a94601bb750,2b9d808ac13f1db1ef3c62a587214f82cb89e1011c2d1eeed5f8954eae4505c8,Estevan,20,Male,Orange
2759b3174a3a5c03adf9fff8b149ffd226ac84ca974aa1e7e80db6b59f817c8d,afd0d92e4ad03f0c8c3dd674aed6455c151b8c631dafad78c45fae3c9826f509,Dryden,90,Female,Blue
17d32618c1c36ae2723ac975970640e77ae3a15ad01cbbe757cc9017a8057e83,1e4fb26a5267adea5dcc5049933142807c1759607efe81c99e6043e35f766ea3,Quinte West,35,Female,Red
e15c7cf97e8341264353d33fc4dba9084e6aa2ab607a0314bbd846f9bcbba50d,647534b03a2c3294500f8865cc972aec7d98f8e0b812c7e6905f55c1bbbed07f,Dollard-des-Ormeaux,80,Male,Green
154350d2f6e8b434841d519225a76e1abb44932ee18398c81d4e88c3488bdea0,8958aed23e854c98e1f4d954824ef346fa4c99323fd1df5be934db2a824c22bd,Montréal-Est,30,Male,Orange
7ee4ba8bed2a43ee64454c3c3eaf0106ef43d5fac1ffba26ecb9239f3cf54be6,d0487a31693d98c490b1a2c10b946b926fe385b39040de41ad32f5b31dc6a7c6,Sept-Îles,80,Male,Green
eddb82f67a859b51dd0ded7267ca314093c104b3a4a500f6dec502c0580f3caf,a029192b98711601e99b537598adb3f6a7a8d4e7b5c3afbaf6d3ad43224123d1,Iqaluit,30,Male,Red
9dc63193ec20a71ae7f03b63d30784626e78a184ee1fd9b6383c2f1e89adeeca,ffe53683e283c86ba476f5a6d25c81d3c814b62a7496ad010b3075cbfca036d7,Cookshire-Eaton,45,Male,Orange
f3360ab1756755e93eb7f6ff692148e5b7b05974647414dba25fd71ca0ae722e,0fe08dfcd5f78f7d4b0d6d53fc58619a828f4adf17ad8e3d3ae942729d07d432,Saint-Charles-Borromée,60,Female,Orange
fde090e97e35f7e1b49595f51bb2d97de7e832aaabeffeb0c4724709ee624e21,2dc8b30c0fe976d1bbb6c1aa52653e3fd1b83774164e6d5cb42c7ba5e3bc7143,Drummondville,65,Male,Green
06d06c1699bb765a30291fbbe0cf2584c2e607ee46100d179b212e4db8153a2a,bbbe1a7340e6ec1ea2c916e9c12e0cc9e5fdb80657daeefdd2b4e569c8fde700,Chambly,50,Female,Orange
89ecb9be4a37472177c2223fb80dd0e9b5d8145cf7d90f7e8880e127ead5a131,6e09b1de74032ca9480d97631d73454ec7abde55186a51ec63b9554ce3e7c507,Corner Brook,65,Male,Blue
4a8bb0803b607f308327f4a8c1713c49ae212800cea5f8b1c5095737f226207d,efa9ef5eb39496107e1eeb8ef1c56820261521f5fe9d43dbdca48cdd66250a99,Spruce Grove,90,Male,Red
af1f2b3e2c9102ba944fe0af4ff491f328f92d3fc9e5e390dd0e59302d379735,0bbb4370511b0e048bd7afdf2efc7cd45ec88d8a9e653e0bda692d06788e9d4a,Thurso,70,Female,Blue
443f51536574d798eab8a9ab95eb2808f001ebe500d786404c74f3c11975fccb,d7655fde17bb1d4e2196ace9eeea2f4784be2dc10b9d28cb935936075c3da158,Campbellton,70,Female,Purple
df61c60826c75e69cbc1699d7cb6c267d64a514dbda476f39a297a91eccfea9b,ca52dbf96d41baea6cde828a14bfcd61ebdaa7d3cc2e64342c30a3beb095f1bf,Whitehorse,45,Female,Purple
ea2efe7b606a27bf78a8940d6a415c1a7600e1e4324d57e6b7eb234a6f8698ed,21e95710ea2b11acb41ab187226480e044ca4d1593a74ed8e85bb78ce265e878,Victoriaville,75,Male,Green
b1edd2930fb2141ec77083a1c9ba9a3df0717a08772ba5d38951b4089dbcda98,3c8deb204ffe72e9199d04bc9c54449d1740135b63287ad252c6c149ade4d9b5,Sainte-Anne-des-Plaines,90,Male,Orange
c3b29e6eef2cc49b7d2456f97333fc3849ac118848b37b4150e8f96738919cdc,923ecc4bcf1174a117b9089c1b94d37040386a7567fbcec2f05bcd43e9995c17,Scotstown,65,Male,Green
f2dbdeb835bc16ca49fa7ee334b56996a85726e7d85526ddfe68ad5126172dd0,5ea5c032a853d5a5461e215c424a6b56b0a5156c0ed94e1ee0c828aac6d047f7,Saint-Lin--Laurentides,65,Female,Blue
b522cee59cf233d641c5a5a16de47f07891a9f61354381a0dbb7383b18d1f387,fa09adfb1d334f5e1c42152d503b9b1af8ebf1a2186ef2ae27ab9867eea16c80,Trois-Pistoles,100,Male,Red
52a193e41d5efa9d3ca83f75bc4ceb7771b175e6a9baa9871c75f2d846707294,ffe86b4bf145bf26f4753e8580e2c64c68638202c910b09e867c1338763221c8,Matagami,35,Female,Orange
53f4a7c37a6237ecf42d109f05601ce26358d0df92c33af7ee430175bb800d66,5564f58fd044849f7e459e83950a2efc2640c69d328865e41e2936a61fb207aa,Lévis,90,Female,Red
31438f3ec82ca48f3f735f4cfc3ed73dff9a8499c6a08b50e84fb62c169da61b,8d2788650203b60c896f7a1d360805c936c294a1c1fe64b1470bb08d89ac8f8a,Shawinigan,60,Male,Orange
4933e3ca3f80150a8f6fc96a05681907e8c83b3ca001ef40a0e5d7948b958550,0639f10303a39556f2c21286bf3e34bd362111a7f05ac250e44bed2f78d31027,Kingston,95,Female,Orange
b6b58a01ce8f4001d147c28abcaacf28f1435bc679f3159884405c88f2360506,8268af0a449af7b5480590ac9138072e6a30d48d340b497d7a91bddaa3710058,Saint-Pascal,35,Female,Blue
69eb10714e6945fed6e15e84aecbcf4e4960c9ce0874ecafcf9617c3a158489f,b8e367474ff69352b45f85b8632db103e80fc575c634a7b33e581c4611085b7c,Warwick,50,Female,Purple
0f701249afd9f50b5ab0e12332e169bd3c0e71038a089205e86e6de89a5a78b0,f624296bcd65b17f129e4ca95b0234dd19395f0544aff1b8b22bc62dd5b64c22,Longueuil,85,Male,Green
ce9376488a2c940ed588c6ea2abc2faadd9b3e0a6b57e14bb16ec6b3056ae7e2,3d607e776a9fba8b62b3e9044280e1be9b259eb92273f22e3e1c6be2606d02c2,Charlottetown,60,Female,Orange
d5a136a99fdfa6863a70c04cdddd1bd9fcf9ba474d044f4f128bbd98f046f241,3f3ce031122fbb0b363a0d717842ea0098cf8957c3ba07cae7c68342eaf3bd6c,Neuville,90,Female,Orange
ee51208b9c289cf5e38bf855eae0eb7bfc160f792659cd7cad190e26a9ccfbbc,3f43e9e1a02a36a7af648489c17da1aca82be797dd97ac17bbd892acf64e99e4,Hamilton,35,Female,Blue
04631d74f90fa5919a633e9fdd4777e2ece4f84b037a45aed9bea1d65e638dbe,5d831fa8a02899a7c49dbbec68bb6d88a6dcb94f7d4070d5e0719f49d7bd5f34,L'Île-Perrot,70,Female,Orange
164c07864cdb291de5eb9b74919b75cb83e1899002ffd3f1a61e402cddb63a29,91fa507dfb2fc51559bf60fae6c18d6d53d5c3b197c4b7f4ecfa4c61e3395016,Saint-Félicien,35,Male,Red
ab1f680c324a4350e83c595dfc7b2941cf92bc75f1db6b8da14a6e93ad871dfc,a503b5d0baba9ed4092d4a270587cad7f1421afe4285969f12c871fde98e159f,Donnacona,60,Male,Orange
